,instance,nnodes,nlps,stime,gap,ndomchgs,ncutoffs,walltime,proctime,objval
499,"[[1. 0. 0. ... 0. 1. 0.]
 [0. 0. 1. ... 1. 0. 1.]
 [0. 0. 1. ... 0. 1. 0.]
 ...
 [0. 0. 1. ... 0. 1. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 [1. 0. 0. ... 1. 0. 0.]]",1,1,0.01,0.0,0,0,0.0156599581241607,0.015662160000005,10.0
500,"[[0. 1. 0. ... 1. 0. 0.]
 [1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [1. 0. 1. ... 1. 1. 1.]
 [0. 1. 1. ... 0. 1. 0.]
 [0. 0. 1. ... 0. 0. 0.]]",1,1,0.02,0.0,0,0,0.0163026973605155,0.0163052330000113,15.999999999999991
501,"[[1. 0. 0. ... 1. 0. 0.]
 [0. 0. 0. ... 0. 1. 0.]
 [1. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 1. ... 0. 0. 0.]
 [0. 0. 1. ... 1. 1. 0.]
 [0. 0. 1. ... 1. 1. 1.]]",1,2,0.01,0.0,0,0,0.0165229625999927,0.0165257069999995,16.0
502,"[[0. 1. 0. ... 0. 1. 0.]
 [0. 1. 0. ... 0. 0. 1.]
 [0. 0. 1. ... 1. 0. 1.]
 ...
 [0. 0. 1. ... 0. 1. 1.]
 [0. 1. 0. ... 0. 1. 0.]
 [0. 0. 1. ... 0. 0. 1.]]",1,5,0.08,0.0,0,0,0.0805988740175962,0.0806012500000008,28.0
503,"[[0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 1. 0.]
 ...
 [1. 0. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 1. 0. 1.]
 [1. 0. 0. ... 0. 0. 0.]]",1,1,0.02,0.0,0,0,0.0150816477835178,0.0150829079999965,17.0
504,"[[0. 1. 0. ... 0. 1. 0.]
 [1. 0. 0. ... 1. 1. 1.]
 [1. 0. 0. ... 0. 0. 0.]
 ...
 [0. 1. 0. ... 0. 0. 1.]
 [1. 0. 0. ... 1. 1. 1.]
 [1. 0. 0. ... 1. 0. 1.]]",1,2,0.03,0.0,0,0,0.0272267758846282,0.0272294779999953,26.0
505,"[[1. 0. 0. ... 1. 1. 0.]
 [0. 1. 0. ... 1. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 1. 0. ... 0. 1. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [1. 0. 0. ... 1. 1. 1.]]",1,1,0.01,0.0,0,0,0.0158640909940004,0.015866785,23.0
506,"[[0. 0. 1. ... 0. 0. 0.]
 [1. 0. 0. ... 1. 0. 1.]
 [1. 0. 0. ... 0. 0. 0.]
 ...
 [1. 0. 0. ... 0. 1. 1.]
 [0. 0. 1. ... 0. 0. 1.]
 [1. 0. 0. ... 0. 1. 1.]]",1,2,0.04,0.0,0,0,0.0392605382949113,0.0392506689999976,16.0
507,"[[0. 0. 1. ... 0. 1. 1.]
 [1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 0. 1. ... 0. 0. 0.]
 [1. 0. 0. ... 0. 1. 0.]
 [1. 0. 0. ... 0. 0. 1.]]",1,1,0.01,0.0,0,0,0.0142064969986677,0.0142084069999981,20.0
508,"[[1. 0. 0. ... 0. 0. 0.]
 [1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 1. 0. 1.]
 ...
 [0. 1. 0. ... 1. 1. 1.]
 [0. 0. 1. ... 0. 1. 0.]
 [1. 0. 0. ... 0. 0. 0.]]",1,66,0.5,0.0,2,1,0.5193191654980183,0.5193224759999993,41.0
509,"[[1. 0. 0. ... 1. 0. 1.]
 [0. 1. 1. ... 0. 0. 0.]
 [0. 1. 0. ... 1. 0. 1.]
 ...
 [1. 0. 0. ... 0. 0. 0.]
 [1. 0. 0. ... 0. 0. 1.]
 [0. 1. 0. ... 0. 1. 0.]]",1,45,0.37,0.0,1,0,0.3750242888927459,0.3750289780000031,28.0
510,"[[1. 0. 0. ... 1. 1. 0.]
 [0. 1. 0. ... 1. 0. 0.]
 [0. 1. 0. ... 1. 0. 1.]
 ...
 [1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 1. 0. 0.]
 [1. 0. 0. ... 0. 0. 0.]]",1,2,0.03,0.0,0,0,0.0353034809231758,0.0352976140000009,20.0
511,"[[0. 1. 0. ... 1. 0. 0.]
 [1. 0. 0. ... 0. 0. 1.]
 [0. 0. 1. ... 1. 1. 0.]
 ...
 [0. 0. 1. ... 0. 1. 1.]
 [1. 0. 0. ... 1. 0. 0.]
 [0. 1. 0. ... 0. 1. 1.]]",1,5,0.06,0.0,0,0,0.0649591628462076,0.0649617859999978,24.00000000000001
512,"[[1. 0. 1. ... 0. 1. 0.]
 [0. 0. 1. ... 0. 1. 0.]
 [0. 0. 1. ... 0. 0. 1.]
 ...
 [0. 1. 0. ... 0. 1. 0.]
 [1. 0. 0. ... 1. 1. 1.]
 [0. 1. 0. ... 0. 1. 0.]]",1,2,0.03,0.0,0,0,0.0320023950189352,0.0320046379999894,31.0
513,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 1. 0. 0.]
 [0. 0. 1. ... 1. 1. 1.]
 ...
 [0. 0. 1. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 1. 0.]
 [0. 1. 0. ... 0. 0. 1.]]",1,1,0.02,0.0,0,0,0.0151016153395175,0.015104609000005,17.0
514,"[[0. 1. 0. ... 1. 0. 1.]
 [0. 1. 0. ... 0. 0. 1.]
 [1. 0. 0. ... 1. 0. 0.]
 ...
 [0. 0. 1. ... 0. 1. 1.]
 [0. 0. 1. ... 0. 0. 1.]
 [0. 1. 0. ... 0. 1. 0.]]",1,3,0.04,0.0,0,0,0.0360545143485069,0.0360578550000099,30.0
515,"[[0. 1. 0. ... 0. 0. 1.]
 [0. 1. 0. ... 1. 1. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 1. 1. ... 1. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 [1. 0. 0. ... 1. 0. 1.]]",1,43,0.38,0.0,0,1,0.3789481278508901,0.3789287879999961,27.0
516,"[[0. 1. 0. ... 0. 0. 0.]
 [1. 0. 0. ... 0. 0. 1.]
 [1. 0. 0. ... 0. 1. 0.]
 ...
 [0. 1. 0. ... 0. 1. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 1. 1. 1.]]",1,5,0.1,0.0,0,0,0.0912566184997558,0.0912602670000097,22.000000000000007
517,"[[0. 0. 1. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 0. 1. ... 1. 1. 0.]
 [1. 0. 0. ... 1. 1. 0.]
 [1. 0. 0. ... 0. 0. 0.]]",1,13,0.13,0.0,0,0,0.1347906459122896,0.1347936389999944,16.999999999999993
518,"[[0. 1. 0. ... 1. 1. 0.]
 [1. 0. 1. ... 1. 1. 1.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [1. 0. 0. ... 1. 0. 1.]
 [0. 1. 0. ... 1. 0. 1.]
 [1. 0. 0. ... 0. 0. 1.]]",1,4,0.06,0.0,0,0,0.0616859197616577,0.0616882049999958,21.0
519,"[[0. 1. 0. ... 0. 0. 1.]
 [0. 1. 0. ... 1. 0. 1.]
 [1. 0. 0. ... 0. 0. 0.]
 ...
 [0. 0. 1. ... 0. 1. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]]",1,52,0.47,0.0,1,1,0.4730545543134212,0.4730574630000035,33.0
520,"[[0. 0. 1. ... 0. 0. 1.]
 [0. 1. 0. ... 0. 0. 0.]
 [1. 0. 0. ... 0. 0. 1.]
 ...
 [0. 0. 0. ... 0. 1. 0.]
 [0. 0. 1. ... 0. 1. 0.]
 [0. 0. 0. ... 1. 0. 0.]]",1,1,0.01,0.0,0,0,0.0156142488121986,0.0156150989999872,28.0
521,"[[0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 1. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 ...
 [0. 1. 0. ... 0. 0. 1.]
 [1. 0. 0. ... 0. 0. 0.]
 [1. 0. 1. ... 0. 0. 1.]]",1,2,0.02,0.0,0,0,0.0164138153195381,0.0164162060000023,15.0
522,"[[0. 0. 1. ... 0. 0. 0.]
 [1. 0. 1. ... 0. 0. 0.]
 [0. 0. 1. ... 1. 0. 1.]
 ...
 [1. 0. 0. ... 1. 0. 1.]
 [1. 0. 0. ... 0. 1. 0.]
 [0. 0. 1. ... 0. 0. 0.]]",1,1,0.02,0.0,0,0,0.0167650580406188,0.0167679670000069,28.00000000000001
523,"[[0. 1. 1. ... 0. 1. 0.]
 [1. 0. 1. ... 1. 0. 1.]
 [0. 1. 1. ... 1. 1. 0.]
 ...
 [0. 0. 1. ... 0. 0. 1.]
 [0. 0. 1. ... 0. 1. 1.]
 [0. 0. 1. ... 0. 0. 0.]]",1,18,0.17,0.0,0,0,0.1759639736264944,0.1759675030000096,23.0
524,"[[0. 1. 0. ... 0. 0. 0.]
 [1. 0. 0. ... 1. 1. 0.]
 [0. 0. 1. ... 0. 0. 1.]
 ...
 [0. 0. 1. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 1.]
 [0. 0. 1. ... 0. 1. 0.]]",1,17,0.25,0.0,0,0,0.2543188389390707,0.2543232849999981,27.0
525,"[[1. 0. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 1. 0. 1.]
 [1. 0. 0. ... 0. 0. 1.]
 ...
 [1. 0. 0. ... 0. 0. 1.]
 [0. 0. 1. ... 0. 0. 0.]
 [0. 0. 1. ... 1. 0. 1.]]",1,10,0.13,0.0,0,0,0.140271158888936,0.1402656949999965,21.0
526,"[[0. 0. 1. ... 0. 0. 1.]
 [1. 0. 0. ... 1. 0. 0.]
 [0. 0. 1. ... 0. 0. 1.]
 ...
 [0. 0. 1. ... 1. 0. 1.]
 [0. 1. 0. ... 0. 0. 1.]
 [0. 0. 1. ... 0. 1. 0.]]",1,1,0.01,0.0,0,0,0.0144826546311378,0.0144848949999953,16.0
527,"[[1. 0. 0. ... 0. 1. 0.]
 [0. 0. 1. ... 1. 1. 0.]
 [0. 0. 1. ... 0. 0. 1.]
 ...
 [0. 1. 0. ... 1. 0. 0.]
 [1. 0. 0. ... 0. 1. 1.]
 [0. 0. 1. ... 0. 0. 0.]]",1,7,0.11,0.0,0,0,0.1121654137969017,0.1121683369999999,24.0
528,"[[0. 0. 1. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 1.]
 ...
 [0. 0. 1. ... 0. 0. 1.]
 [1. 0. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 1. 1.]]",1,1,0.01,0.0,0,0,0.0144240073859691,0.0144264930000019,28.0
529,"[[1. 0. 1. ... 1. 1. 1.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 1. ... 1. 0. 1.]
 ...
 [1. 0. 0. ... 1. 0. 1.]
 [0. 1. 1. ... 1. 0. 1.]
 [0. 1. 0. ... 1. 0. 0.]]",1,2,0.04,0.0,0,0,0.0352540239691734,0.0352560190000019,17.000000000000007
530,"[[0. 0. 1. ... 0. 1. 0.]
 [1. 0. 0. ... 0. 1. 0.]
 [0. 1. 0. ... 1. 0. 0.]
 ...
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 0. 0.]]",1,3,0.06,0.0,0,0,0.0571325607597827,0.057135233000011,15.0
531,"[[0. 1. 0. ... 0. 1. 0.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 1. 0. 0.]
 ...
 [0. 0. 1. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 1. 1.]
 [1. 0. 0. ... 0. 0. 0.]]",1,9,0.13,0.0,0,0,0.1340824589133262,0.1340763660000021,37.0
532,"[[0. 1. 0. ... 0. 0. 0.]
 [0. 1. 0. ... 0. 1. 0.]
 [0. 1. 0. ... 1. 1. 0.]
 ...
 [0. 1. 0. ... 1. 0. 0.]
 [0. 1. 0. ... 0. 0. 1.]
 [1. 0. 0. ... 0. 0. 0.]]",1,1,0.01,0.0,0,0,0.0153760723769664,0.0153788329999997,18.0
533,"[[0. 0. 1. ... 1. 0. 1.]
 [1. 0. 0. ... 0. 1. 0.]
 [0. 1. 0. ... 0. 0. 1.]
 ...
 [1. 0. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 1.]
 [0. 1. 0. ... 0. 1. 1.]]",1,1,0.02,0.0,0,0,0.0157826002687215,0.0157760960000103,15.0
534,"[[1. 0. 0. ... 0. 0. 0.]
 [1. 0. 0. ... 0. 1. 0.]
 [1. 0. 0. ... 0. 0. 1.]
 ...
 [1. 0. 0. ... 0. 0. 0.]
 [1. 0. 0. ... 0. 1. 1.]
 [1. 0. 0. ... 0. 1. 0.]]",1,9,0.11,0.0,0,0,0.1211964394897222,0.1211984199999989,26.00000000000001
535,"[[0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 1. 1. 0.]
 [0. 0. 0. ... 1. 0. 0.]
 ...
 [0. 0. 1. ... 0. 0. 1.]
 [0. 1. 0. ... 0. 0. 0.]
 [0. 0. 1. ... 0. 0. 0.]]",1,3,0.08,0.0,0,0,0.0756863858550787,0.0756894289999934,33.0
536,"[[0. 1. 0. ... 1. 0. 1.]
 [1. 0. 0. ... 1. 1. 1.]
 [0. 0. 1. ... 0. 0. 0.]
 ...
 [0. 0. 1. ... 1. 1. 0.]
 [0. 0. 1. ... 1. 0. 0.]
 [0. 1. 0. ... 0. 1. 0.]]",1,4,0.05,0.0,0,0,0.0547103285789489,0.0547128850000007,16.0
537,"[[1. 0. 0. ... 1. 0. 0.]
 [0. 0. 1. ... 0. 1. 1.]
 [1. 0. 1. ... 0. 0. 1.]
 ...
 [1. 0. 0. ... 1. 1. 1.]
 [1. 0. 1. ... 0. 1. 0.]
 [1. 0. 0. ... 0. 0. 0.]]",1,2,0.03,0.0,0,0,0.0371350646018981,0.0371381189999908,24.0
