policy;seed;type;instance;nnodes;nlps;stime;gap;status;ndomchgs;ncutoffs;walltime;proctime;objval;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_57.lp;7381;8805;141.27;0.0;optimal;428;0;143.6220741290599;143.61540403100025;219.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_58.lp;1229;1665;40.2;0.0;optimal;251;0;40.96889003366232;40.96605033900005;208.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_59.lp;277;485;25.46;0.0;optimal;124;0;25.82995994016528;25.82923639699993;199.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_60.lp;6037;7452;103.25;0.0;optimal;591;0;104.95752191543579;104.95525291900003;210.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_61.lp;25;113;7.24;0.0;optimal;44;0;7.329473057761788;7.329484386000331;164.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_62.lp;1665;2225;42.46;0.0;optimal;280;0;43.08429616689682;43.080311660999996;179.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_63.lp;223;435;18.34;0.0;optimal;150;0;18.635972207412124;18.635107728000094;192.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_64.lp;815;1236;32.82;0.0;optimal;259;0;33.192170053720474;33.191544677000365;189.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_65.lp;777;1094;33.14;0.0;optimal;221;0;33.65655286796391;33.65281828099978;198.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_66.lp;746;1073;28.44;0.0;optimal;234;0;28.83130373992026;28.83107524299976;190.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_67.lp;645;1000;26.52;0.0;optimal;281;0;26.933500595390797;26.93241821699985;182.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_68.lp;282;555;20.41;0.0;optimal;178;1;20.66657459922135;20.665643698000167;189.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_69.lp;1783;2477;49.04;0.0;optimal;352;0;49.73505357466638;49.732358720999855;213.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_70.lp;1285;1823;42.44;0.0;optimal;396;0;43.056362710893154;43.05387923699982;212.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_71.lp;5;65;3.26;0.0;optimal;5;1;3.315695496276021;3.3154837839997526;175.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_72.lp;222;464;19.8;0.0;optimal;167;1;19.987208612263203;19.98591382099994;170.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_73.lp;411;652;21.68;0.0;optimal;167;0;22.005152778699994;22.003169049999997;200.0;
internal:relpscost;0;small;/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_74.lp;1004;1350;31.21;0.0;optimal;195;0;31.727586772292852;31.72667443399996;187.0;
