policy,seed,type,instance,nnodes,nlps,stime,gap,status,ndomchgs,ncutoffs,walltime,proctime,objval
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_46.lp,1,30,0.35,0.0,optimal,0,1,0.357926607131958,0.3579216780000003,31.999999999999986
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_47.lp,1,4,0.04,0.0,optimal,0,0,0.03861103765666485,0.038613563000000184,31.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_48.lp,1,9,0.09,0.0,optimal,0,0,0.09209837950766087,0.09210173899999852,21.000000000000007
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_49.lp,1,4,0.05,0.0,optimal,0,0,0.0566321536898613,0.056613007999999354,15.000000000000004
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_50.lp,7,46,0.46,0.0,optimal,4,1,0.47632001899182796,0.47631017500000006,23.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_51.lp,1,2,0.05,0.0,optimal,0,0,0.060376303270459175,0.06037881700000014,8.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_52.lp,1,24,0.21,0.0,optimal,0,0,0.2252768836915493,0.22528051199999943,22.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_53.lp,1,4,0.06,0.0,optimal,0,0,0.05610710196197033,0.05611019700000064,37.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_54.lp,1,39,0.38,0.0,optimal,0,1,0.3967027459293604,0.39669531600000063,31.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_55.lp,1,6,0.06,0.0,optimal,0,0,0.057637106627225876,0.057640230000000514,20.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_56.lp,1,1,0.04,0.0,optimal,0,0,0.03518449328839779,0.03518811600000049,17.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_57.lp,1,3,0.03,0.0,optimal,0,0,0.03873552568256855,0.03873806500000043,17.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_58.lp,3,40,0.41,0.0,optimal,3,0,0.4283781349658966,0.42838101499999937,40.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_59.lp,3,50,0.44,0.0,optimal,5,1,0.44365704618394375,0.4436527570000006,26.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_60.lp,1,41,0.4,0.0,optimal,0,0,0.40659547597169876,0.4066002270000002,35.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_61.lp,1,16,0.17,0.0,optimal,0,0,0.17588200233876705,0.17588736600000132,26.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_62.lp,1,31,0.26,0.0,optimal,0,0,0.2660988289862871,0.26607988900000024,35.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_63.lp,1,9,0.1,0.0,optimal,0,0,0.10506688058376312,0.10506994400000025,21.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_64.lp,1,36,0.33,0.0,optimal,0,0,0.33058146946132183,0.33057981899999866,44.0
internal:relpscost,0,small,/data/IP-DL/instances/becsogergely/adatb/setcover/train/instance_65.lp,1,15,0.18,0.0,optimal,0,0,0.18570697121322155,0.18571050000000078,29.999999999999996
